7443;7,9;8,9;3;7,9;2,6;6,1
5514;4,3;5,6;4;6;5,9;7,2
6591;7,2;7,7;7,6;5,1;6,5;9,8
1321;4,4;3,2;5,1;4,5;2,8;7,7
2809;7,5;7,4;5,5;4,7;5,3;9,2
1705;5,3;7,9;4,5;9,2;6,2;2,2
4851;9,6;3,4;6,5;7;4,5;5,6
8085;9,8;3,1;2,8;5;3,6;7,1
2688;6,7;3,9;2,9;9,7;2,6;3,8
6031;2,9;2,7;8;4,5;6,7;6,5
4833;9;3,2;7;4;2,5;3,1
2622;5;7,4;4,6;6,5;5,7;8,1
8546;6,7;8,9;4;4,1;9,8;5,3
7614;4,4;8,1;9,7;8,3;2,7;6,6
7381;5,5;4,9;6,5;9,2;6,8;3,3
6573;8,3;5,9;7,8;2,5;8,8;7,8
4942;5,9;2,6;3,4;9,4;5,4;7,9
6902;8,8;5,2;9,5;2,3;7,9;4
9439;4,8;2,2;2,2;2,6;4,3;6,1
7680;4,7;6,8;2,6;8,6;2,9;6,9
9865;7,2;7,1;10;4,1;7,5;3,1
9351;2,8;3,4;4,8;3,9;7,2;9,8
4131;7,1;2,7;8,8;2,2;2,8;4,3
6871;3,5;6,2;4,1;9,9;2,6;4,7
7857;7;2,4;9,4;5;9,4;9,8
4295;8,6;9,1;5,9;6,5;6,9;10
9500;7,9;6,7;2,4;5,1;2,9;2,4
4077;6,3;2,3;5;9,8;9,9;5,3
5926;6,4;7,9;5;7,6;4,1;8,2
