7443;9;8,2;9,5;10;8,5;9,2
5514;2,4;7,2;6,5;4,5;8,9;9,3
6591;5,2;6,8;2,3;10;6,3;2,2
1321;5,1;2,8;9,2;8,9;7,1;9,7
2809;8,8;8,3;2,5;2,4;9,4;9,5
1705;3,5;4,2;6,4;4,8;4,7;4,7
4851;2,2;6,1;6,5;9,1;4,2;3,8
8085;4,6;4,2;8,5;8,6;4,3;3,7
2688;7,8;7,2;8;7,8;5,9;4,5
6031;8,2;6,5;2,8;7,3;3,7;6,8
4833;7,1;8,9;8;3,7;6,8;2,3
2622;4,9;8,9;7,4;5,5;8;5,3
8546;3,5;4,7;6,7;5;7,3;8,3
7614;5,5;5,3;8,7;6,7;8;6,1
7381;7,7;3,8;8,3;9,1;4,9;7,3
6573;5,6;7,4;2,1;4,4;2,7;8,2
4942;6,3;3,5;4,6;3;5,7;9,5
6902;5,7;3,5;6,1;7,6;9;3
9439;9,2;5,6;6,2;6,8;4,5;4,2
7680;9,7;9,9;2,8;3;2,1;3,1
9865;4,8;2,7;9,3;7,4;8,3;8,8
9351;2,1;4,2;3,9;3,8;6,6;2,8
4131;9,3;5,9;4,8;4,8;6,5;5
6871;2;5,4;8,6;9,6;7,6;4
7857;4,7;5,7;2,3;9,9;2,5;8
4295;6,4;8,3;2,1;2,1;8,8;7,4
9500;6,6;7,3;5,1;7,8;7,3;7,8
4077;3,3;5,2;3,5;6,5;4,4;2,4
5926;9,1;2,5;10;2,6;3,9;5,9
