7443;5,9;2,6;8,2;6,3;6,3;7,9
5514;9,2;4,5;7,7;10,0;3,4;7,5
6591;4,0;5,8;4,8;2,0;5,6;2,8
1321;9,3;4,1;4,8;4,4;7,0;6,8
2809;5,5;9,2;8,7;7,0;2,6;2,9
1705;2,0;7,1;5,2;2,3;6,2;9,9
4851;9,8;4,7;7,3;5,5;6,2;2,5
8085;6,0;8,2;9,2;4,3;2,4;7,1
2688;8,5;3,6;7,4;9,1;7,4;5,7
6031;9,8;5,5;6,9;8,0;3,4;5,4
4833;3,3;9,1;9,7;2,3;9,7;8,8
2622;5,2;10,0;7,2;3,7;7,4;8,2
8546;9,4;5,3;8,4;4,7;5,8;7,1
7614;6,6;5,6;5,5;2,5;6,4;5,0
7381;8,7;9,2;6,8;2,9;5,7;8,4
6573;9,4;3,8;9,0;3,4;9,6;8,5
4942;6,7;2,6;8,5;4,2;8,7;5,4
6902;7,3;7,5;4,1;3,1;3,7;7,7
9439;4,3;3,5;5,2;4,4;3,9;8,7
7680;3,6;3,8;5,2;2,5;8,2;7,7
9865;6,1;2,2;6,9;6,6;3,6;9,1
9351;6,5;5,3;3,5;10,0;2,2;9,0
4131;9,0;6,5;3,4;7,7;6,3;7,3
6871;6,7;3,9;8,3;9,6;2,0;6,4
7857;2,6;4,0;7,6;6,9;9,7;2,6
4295;2,6;2,4;9,5;8,1;5,9;3,7
9500;8,9;8,3;8,6;9,8;4,5;9,0
4077;5,7;2,0;6,8;6,8;5,5;4,6
5926;5,7;2,2;6,2;7,9;9,9;4,5
