7443;9,9;2,6;3,9;5,1;7,8;3,7
5514;3,3;3,2;3,7;8,5;5,1;5,2
6591;8,2;6,5;5,1;8,1;4,7;7,4
1321;5,9;6,8;3,4;3,1;3;7,1
2809;9,9;6,8;4,4;5,7;9,7;4,4
1705;4,3;3;9,7;2,1;6,3;4
4851;4,5;5,5;7,3;4,7;8,7;4,1
8085;9,4;5,4;2;5,5;5,4;8,4
2688;4,7;4,9;5,6;4,8;8,4;4,7
6031;6,2;7,3;6,2;8,9;6,2;3,3
4833;4,8;6,7;8,6;6,3;4,2;9,9
2622;2,6;6,8;7,9;8,6;7,1;10
8546;2,9;4,4;5,2;3,1;7,5;8,1
7614;6,9;3,1;3,4;5,5;8,1;8,4
7381;4,8;9;8,3;4,3;6;2,8
6573;9,2;5,9;6,4;5,2;7,7;7,6
4942;5,8;7,8;9;7;8,5;8,7
6902;8,1;6;6,6;6,1;3,3;3,6
9439;2,6;8;2,2;8,6;4,4;4,6
7680;7,5;3,6;7,9;3;8;8,5
9865;2,3;9,1;4,7;7,5;8,3;3,6
9351;6,9;3,6;3,6;3,3;7,5;9,5
4131;5,3;2,3;4,6;5,5;7;5,9
6871;4,9;8,9;9,6;7;7,3;3,1
7857;8,5;9,7;3,4;4,6;7;6,9
4295;5,6;2,3;3,7;6;5,7;3,2
9500;2,6;7,1;6,4;4;4,5;5,1
4077;3,6;2,8;2,3;10;4,1;2
5926;3,9;7,1;4,1;4,6;7;10
